package,vuln_count,cvss_max,has_vuln,has_high_vuln,advisory_ids
tensorflow,676,9.8,1,1,GHSA-23hm-7w47-xw72;GHSA-2475-53vw-vp25;GHSA-247x-2f9f-5wp7;GHSA-24x4-6qmh-88qg;GHSA-24x6-8c7m-hv3f;GHSA-26j7-6w8w-7922;GHSA-278g-rq84-9hmg;GHSA-27j5-4p9v-pp67;GHSA-27qf-jwm8-g7f3;GHSA-27rc-728f-x5w2;GHSA-2cpx-427x-q2c6;GHSA-2gfx-95x2-5v3x;GHSA-2p25-55c9-h58q;GHSA-2p9q-h29j-3f5v;GHSA-2r2f-g8mw-9gvr;GHSA-2r8p-fg3c-wcj4;GHSA-2vv3-56qg-g2cf;GHSA-2wmv-37vq-52g5;GHSA-2xgj-xhgf-ggjv;GHSA-34f9-hjfq-rr8j;GHSA-368v-7v32-52fx;GHSA-36vm-xw34-x4pj;GHSA-374m-jm66-3vj8;GHSA-37jf-mjv6-xfqw;GHSA-393f-2jr3-cp69;GHSA-397c-5g2j-qxpv;GHSA-3ff2-r28g-w7h9;GHSA-3h8m-483j-7xxm;GHSA-3hxh-8cp2-g4hg;GHSA-3mw4-6rj6-74g5;GHSA-3qgw-p4fm-x7gf;GHSA-3qxp-qjq7-w4hf;GHSA-3rcw-9p9x-582v;GHSA-3w67-q784-6w7c;GHSA-4278-2v5v-65r4;GHSA-428x-9xc2-m8mj;GHSA-43jf-985q-588j;GHSA-43q8-3fv7-pr5x;GHSA-44qp-9wwf-734r;GHSA-452g-f7fp-9jf7;GHSA-49rq-hwc3-x77w;GHSA-49rx-x2rw-pc6f;GHSA-4c4g-crqm-xrxw;GHSA-4f99-p9c2-3j8x;GHSA-4fg4-p75j-w5xj;GHSA-4g9f-63rx-5cw4;GHSA-4hrh-9vmp-2jgg;GHSA-4hvf-hxvg-f67v;GHSA-4hvv-7x94-7vq8;GHSA-4j82-5ccr-4r8v;GHSA-4p4p-www8-8fv9;GHSA-4pc4-m9mj-v2r9;GHSA-4v5p-v5h9-6xjx;GHSA-4vf2-4xcg-65cx;GHSA-4vrf-ff7v-hpgr;GHSA-4w68-4x85-mjj9;GHSA-4xfp-4pfp-89wg;GHSA-545v-42p7-98fq;GHSA-54ch-gjq5-4976;GHSA-54pp-c6pp-7fpx;GHSA-558h-mq8x-7q9g;GHSA-57wx-m983-2f88;GHSA-5889-7v45-q28m;GHSA-59q2-x2qc-4c97;GHSA-5crj-c72x-m7gq;GHSA-5f2r-qp73-37mr;GHSA-5gqf-456p-4836;GHSA-5hj3-vjjf-f5m7;GHSA-5hx2-qx8j-qjqm;GHSA-5qw5-89mw-wcg2;GHSA-5v77-j66x-4c4g;GHSA-5w96-866f-6rm8;GHSA-5wpj-c6f7-24x8;GHSA-5xwc-mrhx-5g3m;GHSA-627q-g293-49q7;GHSA-62gx-355r-9fhg;GHSA-63xm-rx5p-xvqr;GHSA-6445-fm66-fvq2;GHSA-647v-r7qq-24fh;GHSA-64jg-wjww-7c5w;GHSA-66vq-54fq-6jvv;GHSA-67pf-62xr-q35m;GHSA-689c-r7h2-fv9v;GHSA-68v3-g9cm-rmm6;GHSA-6f84-42vf-ppwp;GHSA-6f89-8j54-29xf;GHSA-6g85-3hm8-83f9;GHSA-6gmv-pjp9-p8w8;GHSA-6gv8-p3vj-pxvr;GHSA-6hg6-5c2q-7rcr;GHSA-6hpv-v2rx-c5g6;GHSA-6j9c-grc6-5m6g;GHSA-6p5r-g9mq-ggh2;GHSA-6qgm-fv6v-rfpv;GHSA-6wfh-89q8-44jq;GHSA-6x99-gv2v-q76v;GHSA-75c9-jrh4-79mc;GHSA-75f6-78jr-4656;GHSA-762h-vpvw-3rcx;GHSA-772j-h9xw-ffp5;GHSA-772p-x54p-hjrv;GHSA-77gp-3h4r-6428;GHSA-786j-5qwq-r36x;GHSA-79fv-9865-4qcv;GHSA-79h2-q768-fpxr;GHSA-7cqx-92hp-x6wh;GHSA-7fvx-3jfc-2cpc;GHSA-7ghq-fvr3-pj2x;GHSA-7j3m-8g3c-9qqq;GHSA-7jvm-xxmr-v5cw;GHSA-7pxj-m4jf-r6h2;GHSA-7r94-xv9v-63jw;GHSA-7v94-64hj-m82h;GHSA-7x4v-9gxg-9hwj;GHSA-7xwj-5r4v-429p;GHSA-828c-5j5q-vrjq;GHSA-828x-qc2p-wprq;GHSA-844w-j86r-4x2j;GHSA-84jm-4cf3-9jfm;GHSA-84mw-34w6-2q43;GHSA-87v6-crgm-2gfj;GHSA-8c89-2vwr-chcq;GHSA-8cxv-76p7-jxwr;GHSA-8fvv-46hw-vpg3;GHSA-8fxw-76px-3rxv;GHSA-8gv3-57p6-g35r;GHSA-8h46-5m9h-7553;GHSA-8jj7-5vxc-pg2q;GHSA-8pmx-p244-g88h;GHSA-8r7c-3cm2-3h8f;GHSA-8rcj-c8pj-v3m3;GHSA-8rm6-75mf-7r7r;GHSA-8w5g-3wcv-9g2j;GHSA-8wwm-6264-x792;GHSA-93vr-9q9m-pj8p;GHSA-94mm-g2mv-8p7r;GHSA-95xm-g58g-3p88;GHSA-9697-98pf-4rw7;GHSA-977j-xj7q-2jr9;GHSA-97p7-w86h-vcf9;GHSA-97wf-p777-86jq;GHSA-98j8-c9q4-r38g;GHSA-98p5-x8x4-c9m5;GHSA-9942-r22v-78cp;GHSA-9c78-vcq7-7vxq;GHSA-9c84-4hx6-xmm4;GHSA-9c8h-2mv3-49ww;GHSA-9c8h-vvrj-w2p8;GHSA-9cr2-8pwr-fhfq;GHSA-9crf-c6qr-r273;GHSA-9fpg-838v-wpv7;GHSA-9gwq-6cwj-47h3;GHSA-9j4v-pp28-mxv7;GHSA-9jjw-hf72-3mxw;GHSA-9mqp-7v2h-2382;GHSA-9p77-mmrw-69c7;GHSA-9px9-73fg-3fqp;GHSA-9rpc-5v9q-5r7f;GHSA-9v8w-xmr4-wgxp;GHSA-9vpm-rcf4-9wqw;GHSA-9vqj-64pv-w55c;GHSA-9w2p-5mgw-p94c;GHSA-9x52-887g-fhc2;GHSA-9xh4-23q4-v6wr;GHSA-c45w-2wxr-pp53;GHSA-c545-c4f9-rf6v;GHSA-c582-c96p-r5cq;GHSA-c5x2-p679-95wc;GHSA-c6fh-56w7-fvjw;GHSA-c94w-c95p-phf8;GHSA-c968-pq7h-7fxv;GHSA-c9f3-9wfr-wgh7;GHSA-c9qf-r67m-p7cg;GHSA-cfpj-3q4c-jhvr;GHSA-cfx7-2xpc-8w4h;GHSA-cg88-rpvp-cjv5;GHSA-cgfm-62j4-v4rf;GHSA-ch4f-829c-v5pw;GHSA-cjc7-49v2-jp64;GHSA-cm5x-837x-jf3c;GHSA-cmgw-8vpc-rc59;GHSA-cpf4-wx82-gxp6;GHSA-cq76-mxrc-vchh;GHSA-cqv6-3phm-hcwx;GHSA-cqvq-fvhr-v6hc;GHSA-crch-j389-5f84;GHSA-cv2p-32v3-vhwq;GHSA-cvgx-3v3q-m36c;GHSA-cvpc-8phh-8f45;GHSA-cwpm-f78v-7m5c;GHSA-cwv3-863g-39vx;GHSA-f2vv-v9cg-qhh7;GHSA-f2w8-jw48-fr7j;GHSA-f49c-87jh-g47q;GHSA-f4rr-5m7v-wxcw;GHSA-f4w6-h4f5-wx45;GHSA-f54p-f6jp-4rhr;GHSA-f5cx-5wr3-5qrc;GHSA-f637-vh3r-vfh2;GHSA-f78g-q7r4-9wcv;GHSA-f7r5-q7cx-h668;GHSA-f8h4-7rgh-q2gm;GHSA-fcwc-p4fc-c5cc;GHSA-ffjm-4qwc-7cmf;GHSA-fhfc-2q7x-929f;GHSA-fpcp-9h7m-ffpx;GHSA-fphq-gw9m-ghrv;GHSA-fq6p-6334-8gr4;GHSA-fq86-3f29-px2c;GHSA-fqm2-gh8w-gr68;GHSA-fqxc-pvf8-2w9v;GHSA-fr77-rrx3-cp7g;GHSA-frqp-wp83-qggv;GHSA-frxx-2m33-6wcr;GHSA-fv25-wrff-wf86;GHSA-fv43-93gv-vm8f;GHSA-fx5c-h9f6-rv7c;GHSA-fxgc-95xx-grvq;GHSA-fxqh-cfjm-fp93;GHSA-g25h-jr74-qp5j;GHSA-g35r-369w-3fqp;GHSA-g468-qj8g-vcjc;GHSA-g4h2-gqm3-c9wq;GHSA-g7p5-5759-qv46;GHSA-g8wg-cjwc-xhhp;GHSA-g9fm-r5mm-rf9f;GHSA-g9h5-vr8m-x2h4;GHSA-gcvh-66ff-4mwm;GHSA-gf2j-f278-xh4v;GHSA-gf88-j2mg-cc82;GHSA-gf97-q72m-7579;GHSA-gh6x-4whr-2qv4;GHSA-gh8h-7j2j-qv4f;GHSA-gjh7-xx4r-x345;GHSA-gjqc-q9g6-q2j3;GHSA-gpfh-jvf9-7wg5;GHSA-gq2j-cr96-gvqx;GHSA-gv26-jpj9-c8gq;GHSA-gvm4-h8j3-rjrq;GHSA-gw97-ff7c-9v96;GHSA-gwcx-jrx4-92w2;GHSA-h246-cgh4-7475;GHSA-h2wq-prv9-2f56;GHSA-h48f-q7rw-hvr7;GHSA-h4pc-gx2w-f2xv;GHSA-h5g4-ppwx-48q2;GHSA-h5vq-gw2c-pq47;GHSA-h67m-xg8f-fxcf;GHSA-h6fg-mjxg-hqq4;GHSA-h6gw-r52c-724r;GHSA-h6jh-7gv5-28vg;GHSA-h6q3-vv32-2cq5;GHSA-h7ff-cfc9-wmmh;GHSA-h98h-8mxr-m8gx;GHSA-h9px-9vqg-222h;GHSA-hc2f-7r5r-r2hg;GHSA-hc6c-75p4-hmq4;GHSA-hhvc-g5hv-48c6;GHSA-hjmq-236j-8m87;GHSA-hmg3-c7xj-6qwm;GHSA-hp4c-x6r7-6555;GHSA-hpv4-7p9c-mvfr;GHSA-hq7g-wwwp-q46h;GHSA-hr84-fqvp-48mm;GHSA-hrg5-737c-2p56;GHSA-hwr7-8gxx-fj5p;GHSA-hx2x-85gr-wrpq;GHSA-hx9q-2mx4-m4pg;GHSA-j3mj-fhpq-qqjj;GHSA-j43h-pgmg-5hjq;GHSA-j47f-4232-hvv8;GHSA-j5w9-hmfh-4cr6;GHSA-j7rm-8ww4-xx2g;GHSA-j86v-p27c-73fm;GHSA-j8c8-67vp-6mx7;GHSA-j8qc-5fqr-52fp;GHSA-j8qh-3xrq-c825;GHSA-jc87-6vpp-7ff3;GHSA-jf7h-7m85-w2v2;GHSA-jfp7-4j67-8r3q;GHSA-jfq2-rj7f-9gvf;GHSA-jhq9-wm9m-cf89;GHSA-jjm6-4vf7-cjh4;GHSA-jjr8-m8g8-p6wv;GHSA-jq6x-99hj-q636;GHSA-jqm7-m5q7-3hm5;GHSA-jvhc-5hhr-w3v5;GHSA-jwf9-w5xm-f437;GHSA-m342-ff57-4jcc;GHSA-m34j-p8rj-wjxq;GHSA-m3f9-w3p3-p669;GHSA-m4hf-j54p-p353;GHSA-m539-j985-hcr8;GHSA-m648-33qf-v3gp;GHSA-m6cv-4fmf-66xf;GHSA-m6vp-8q9j-whx4;GHSA-m7fm-4jfh-jrg6;GHSA-mfg7-x5m7-6p8w;GHSA-mg66-qvc5-rm93;GHSA-mgmh-g2v6-mqw5;GHSA-mh3m-62v7-68xg;GHSA-mhhc-q96p-mfm9;GHSA-mmq6-q8r3-48fm;GHSA-mq5c-prh3-3f3h;GHSA-mqh2-9wrp-vx84;GHSA-mv77-9g28-cwg3;GHSA-mv78-g7wq-mhp4;GHSA-mv8m-8x97-937q;GHSA-mw6j-hh29-h379;GHSA-mw6v-crh8-8533;GHSA-mxjj-953w-2c2v;GHSA-p2cq-cprg-frvm;GHSA-p2xf-8hgm-hpw5;GHSA-p45v-v4pw-77jr;GHSA-p5f8-gfw5-33w4;GHSA-p7hr-f446-x6qf;GHSA-p9rc-rmr5-529j;GHSA-pf36-r9c6-h97j;GHSA-pfjj-m3jj-9jc9;GHSA-pg59-2f92-5cph;GHSA-pgcq-h79j-2f69;GHSA-ph87-fvjr-v33w;GHSA-pmpr-55fj-r229;GHSA-pqhm-4wvf-2jg8;GHSA-pqrv-8r2f-7278;GHSA-prcg-wp5q-rv7p;GHSA-pvrc-hg3f-58r6;GHSA-pxrw-j2fv-hx3h;GHSA-q263-fvxm-m5mw;GHSA-q2c3-jpmc-gfjx;GHSA-q3g3-h9r4-prrc;GHSA-q492-f7gr-27rp;GHSA-q4qf-3fc6-8x34;GHSA-q5jv-m6qw-5g37;GHSA-q7f7-544h-67h9;GHSA-q85f-69q7-55h2;GHSA-q8gv-q7wr-9jf8;GHSA-q8qj-fc9q-cphr;GHSA-qc53-44cj-vfvx;GHSA-qfpc-5pjr-mh26;GHSA-qg48-85hg-mqc5;GHSA-qh32-6jjc-qprm;GHSA-qhw4-wwr7-gjc5;GHSA-qhxx-j73r-qpm2;GHSA-qj5r-f9mv-rffh;GHSA-qjj8-32p7-h289;GHSA-qjqc-vqcf-5qvj;GHSA-qr82-2c78-4m8h;GHSA-qw5h-7f53-xrp6;GHSA-qx2v-j445-g354;GHSA-qx3f-p745-w4hr;GHSA-qxpx-j395-pw36;GHSA-r26c-679w-mrjm;GHSA-r35g-4525-29fq;GHSA-r4c4-5fpq-56wg;GHSA-r4pj-74mg-8868;GHSA-r6jx-9g48-2r5r;GHSA-r6pg-pjwc-j585;GHSA-rc9w-5c64-9vqq;GHSA-rcf8-g8jv-vg6p;GHSA-rf3h-xgv5-2q39;GHSA-rg3m-hqc5-344v;GHSA-rgvq-pcvf-hx75;GHSA-rh87-q4vg-m45j;GHSA-rhrq-64mq-hf9h;GHSA-rjjg-hgv6-h69v;GHSA-rjx6-v474-2ch9;GHSA-rmg2-f698-wq35;GHSA-rrfp-j2mp-hq9c;GHSA-rrx2-r989-2c43;GHSA-rww7-2gpw-fv6j;GHSA-v3f7-j968-4h5f;GHSA-v52p-hfjf-wg88;GHSA-v5xg-3q2c-c2r4;GHSA-v6h3-348g-6h5x;GHSA-v6r6-84gr-92rm;GHSA-v768-w7m9-2vmm;GHSA-v7vw-577f-vp8x;GHSA-v82p-hv3v-p6qp;GHSA-vcjj-9vg7-vf68;GHSA-vf94-36g5-69v8;GHSA-vfr4-x8j2-3rf9;GHSA-vgvh-2pf4-jr2x;GHSA-vjg4-v33c-ggc4;GHSA-vm7x-4qhj-rrcq;GHSA-vmjw-c2vp-p33c;GHSA-vq2r-5xvm-3hc3;GHSA-vq36-27g6-p492;GHSA-vqw6-72r7-fgw7;GHSA-vvg4-vgrv-xfr7;GHSA-vwhq-49r4-gj9v;GHSA-vxv8-r8q2-63xw;GHSA-w4xf-2pqw-5mq7;GHSA-w58w-79xv-6vcj;GHSA-w5gh-2wr2-pm6g;GHSA-w62h-8xjm-fv49;GHSA-w74j-v8xh-3w5h;GHSA-wc4g-r73w-x8mm;GHSA-wcv5-qrj6-9pfm;GHSA-wcv5-vrvr-3rx2;GHSA-wf5p-c75w-w3wh;GHSA-whr9-vfh2-7hm6;GHSA-wm93-f238-7v37;GHSA-wp3c-xw9g-gpcg;GHSA-wp77-4gmm-7cq8;GHSA-wq6q-6m32-9rv9;GHSA-wqmc-pm8c-2jhc;GHSA-wr9v-g9vf-c74v;GHSA-wvjw-p9f5-vq28;GHSA-wxjj-cgcx-r3vq;GHSA-x3v8-c8qx-3j3r;GHSA-x4g7-fvjj-prg8;GHSA-x4qx-4fjv-hmw6;GHSA-x5cp-9pcf-pp3h;GHSA-x7rp-74x2-mjf3;GHSA-x83m-p7pv-ch8v;GHSA-x8h6-xgqx-jqgp;GHSA-x989-q2pq-4q5x;GHSA-x9j7-x98r-r4w2;GHSA-xcwj-wfcm-m23c;GHSA-xf83-q765-xm6m;GHSA-xgc3-m89p-vr3x;GHSA-xm2v-8rrw-w9pm;GHSA-xmq7-7fxm-rr79;GHSA-xqfj-35wv-m3cr;GHSA-xqfj-cr6q-pc8w;GHSA-xrp2-fhq4-4q3w;GHSA-xrqm-fpgr-6hhx;GHSA-xvjm-fvxx-q3hv;GHSA-xvwp-h6jv-7472;GHSA-xw93-v57j-fcgh;GHSA-xwhf-g6j5-j5gc;GHSA-xxcj-rhqg-m46g;OSV-2021-449;PYSEC-2019-204;PYSEC-2019-205;PYSEC-2019-206;PYSEC-2019-207;PYSEC-2019-208;PYSEC-2019-209;PYSEC-2019-210;PYSEC-2020-113;PYSEC-2020-114;PYSEC-2020-115;PYSEC-2020-116;PYSEC-2020-117;PYSEC-2020-118;PYSEC-2020-119;PYSEC-2020-120;PYSEC-2020-121;PYSEC-2020-122;PYSEC-2020-123;PYSEC-2020-124;PYSEC-2020-125;PYSEC-2020-126;PYSEC-2020-127;PYSEC-2020-128;PYSEC-2020-129;PYSEC-2020-130;PYSEC-2020-131;PYSEC-2020-132;PYSEC-2020-133;PYSEC-2020-134;PYSEC-2020-135;PYSEC-2020-136;PYSEC-2020-137;PYSEC-2020-138;PYSEC-2020-139;PYSEC-2020-140;PYSEC-2020-141;PYSEC-2020-253;PYSEC-2020-254;PYSEC-2020-255;PYSEC-2020-256;PYSEC-2020-257;PYSEC-2020-258;PYSEC-2021-149;PYSEC-2021-150;PYSEC-2021-151;PYSEC-2021-152;PYSEC-2021-153;PYSEC-2021-154;PYSEC-2021-155;PYSEC-2021-156;PYSEC-2021-157;PYSEC-2021-158;PYSEC-2021-159;PYSEC-2021-160;PYSEC-2021-161;PYSEC-2021-162;PYSEC-2021-163;PYSEC-2021-164;PYSEC-2021-165;PYSEC-2021-166;PYSEC-2021-167;PYSEC-2021-168;PYSEC-2021-169;PYSEC-2021-170;PYSEC-2021-171;PYSEC-2021-172;PYSEC-2021-173;PYSEC-2021-174;PYSEC-2021-175;PYSEC-2021-176;PYSEC-2021-177;PYSEC-2021-178;PYSEC-2021-179;PYSEC-2021-180;PYSEC-2021-181;PYSEC-2021-182;PYSEC-2021-183;PYSEC-2021-184;PYSEC-2021-185;PYSEC-2021-186;PYSEC-2021-187;PYSEC-2021-188;PYSEC-2021-189;PYSEC-2021-190;PYSEC-2021-191;PYSEC-2021-192;PYSEC-2021-193;PYSEC-2021-194;PYSEC-2021-195;PYSEC-2021-196;PYSEC-2021-197;PYSEC-2021-198;PYSEC-2021-199;PYSEC-2021-200;PYSEC-2021-201;PYSEC-2021-202;PYSEC-2021-203;PYSEC-2021-204;PYSEC-2021-205;PYSEC-2021-206;PYSEC-2021-207;PYSEC-2021-208;PYSEC-2021-209;PYSEC-2021-210;PYSEC-2021-211;PYSEC-2021-212;PYSEC-2021-213;PYSEC-2021-214;PYSEC-2021-215;PYSEC-2021-216;PYSEC-2021-217;PYSEC-2021-218;PYSEC-2021-219;PYSEC-2021-220;PYSEC-2021-221;PYSEC-2021-222;PYSEC-2021-223;PYSEC-2021-224;PYSEC-2021-225;PYSEC-2021-226;PYSEC-2021-227;PYSEC-2021-228;PYSEC-2021-229;PYSEC-2021-230;PYSEC-2021-231;PYSEC-2021-232;PYSEC-2021-233;PYSEC-2021-234;PYSEC-2021-235;PYSEC-2021-236;PYSEC-2021-237;PYSEC-2021-238;PYSEC-2021-239;PYSEC-2021-240;PYSEC-2021-241;PYSEC-2021-242;PYSEC-2021-243;PYSEC-2021-244;PYSEC-2021-245;PYSEC-2021-246;PYSEC-2021-247;PYSEC-2021-248;PYSEC-2021-249;PYSEC-2021-250;PYSEC-2021-251;PYSEC-2021-252;PYSEC-2021-253;PYSEC-2021-254;PYSEC-2021-255;PYSEC-2021-256;PYSEC-2021-257;PYSEC-2021-258;PYSEC-2021-259;PYSEC-2021-260;PYSEC-2021-261;PYSEC-2021-262;PYSEC-2021-263;PYSEC-2021-264;PYSEC-2021-265;PYSEC-2021-266;PYSEC-2021-267;PYSEC-2021-268;PYSEC-2021-269;PYSEC-2021-270;PYSEC-2021-271;PYSEC-2021-272;PYSEC-2021-273;PYSEC-2021-274;PYSEC-2021-275;PYSEC-2021-276;PYSEC-2021-277;PYSEC-2021-278;PYSEC-2021-279;PYSEC-2021-280;PYSEC-2021-281;PYSEC-2021-282;PYSEC-2021-283;PYSEC-2021-284;PYSEC-2021-285;PYSEC-2021-286;PYSEC-2021-287;PYSEC-2021-288;PYSEC-2021-289;PYSEC-2021-290;PYSEC-2021-291;PYSEC-2021-292;PYSEC-2021-293;PYSEC-2021-294;PYSEC-2021-295;PYSEC-2021-296;PYSEC-2021-297;PYSEC-2021-298;PYSEC-2021-299;PYSEC-2021-300;PYSEC-2021-301;PYSEC-2021-302;PYSEC-2021-303;PYSEC-2021-304;PYSEC-2021-305;PYSEC-2021-306;PYSEC-2021-307;PYSEC-2021-308;PYSEC-2021-309;PYSEC-2021-310;PYSEC-2021-311;PYSEC-2021-312;PYSEC-2021-313;PYSEC-2021-314;PYSEC-2021-389;PYSEC-2021-390;PYSEC-2021-391;PYSEC-2021-392;PYSEC-2021-393;PYSEC-2021-394;PYSEC-2021-395;PYSEC-2021-396;PYSEC-2021-397;PYSEC-2021-398;PYSEC-2021-399;PYSEC-2021-400;PYSEC-2021-401;PYSEC-2021-402;PYSEC-2021-403;PYSEC-2021-404;PYSEC-2021-405;PYSEC-2021-406;PYSEC-2021-407;PYSEC-2021-408;PYSEC-2021-409;PYSEC-2021-410;PYSEC-2021-411;PYSEC-2021-412;PYSEC-2021-413;PYSEC-2021-414;PYSEC-2021-415;PYSEC-2021-416;PYSEC-2021-417;PYSEC-2021-418;PYSEC-2021-419;PYSEC-2021-420;PYSEC-2021-842;PYSEC-2021-843
msrestazure,0,,0,0,
pytokens,0,,0,0,
ifaddr,0,,0,0,
voluptuous,0,,0,0,
pytest-asyncio,0,,0,0,
simple-websocket,0,,0,0,
jax,0,,0,0,
pyspnego,0,,0,0,
limits,0,,0,0,
notebook-shim,0,,0,0,
wtforms,0,,0,0,
xarray,0,,0,0,
jsonpickle,2,9.8,1,1,GHSA-j66q-qmrc-89rx;PYSEC-2020-49
trio-websocket,0,,0,0,
oauth2client,0,,0,0,
asyncssh,8,9.8,1,1,GHSA-97cv-6pjf-5f9q;GHSA-c35q-ffpf-5qpm;GHSA-cfc2-wr2v-gxm5;GHSA-g794-3fmp-753h;GHSA-hfmc-7525-mj55;PYSEC-2018-108;PYSEC-2023-237;PYSEC-2023-239
jsonpath-ng,0,,0,0,
resolvelib,0,,0,0,
retrying,0,,0,0,
olefile,0,,0,0,
docopt,0,,0,0,
taskgroup,0,,0,0,
xlrd,0,,0,0,
identify,0,,0,0,
cfgv,0,,0,0,
binaryornot,0,,0,0,
alibabacloud-tea,0,,0,0,
license-expression,0,,0,0,
azure-keyvault-secrets,0,,0,0,
llama-index-llms-openai,0,,0,0,
async-lru,0,,0,0,
selenium,2,8.8,1,1,PYSEC-2022-43167;PYSEC-2023-206
pytest-xdist,0,,0,0,
torchaudio,0,,0,0,
texttable,0,,0,0,
types-awscrt,0,,0,0,
pyrfc3339,0,,0,0,
pylint,0,,0,0,
azure-nspkg,0,,0,0,
fastavro,0,,0,0,
funcy,0,,0,0,
polars-runtime-32,0,,0,0,
db-dtypes,0,,0,0,
oscrypto,0,,0,0,
catalogue,0,,0,0,
aenum,0,,0,0,
playwright,0,,0,0,
jupyterlab-server,0,,0,0,
seaborn,0,,0,0,
configargparse,0,,0,0,
jupyter-lsp,1,7.3,1,1,GHSA-4qhp-652w-c22x
imageio,0,,0,0,
pybase64,0,,0,0,
cmeel,0,,0,0,
posthog,0,,0,0,
installer,0,,0,0,
psycopg,0,,0,0,
entrypoints,0,,0,0,
tldextract,0,,0,0,
ninja,0,,0,0,
flask-sqlalchemy,0,,0,0,
ansible-core,7,6.6,1,0,GHSA-32p4-gm2c-wmch;GHSA-7j69-qfc3-2fq9;GHSA-99w6-3xph-cx78;GHSA-h24r-m9qc-pvpg;GHSA-jpxc-vmjf-9fcj;GHSA-ww3m-ffrm-qvqv;PYSEC-2024-36
opentelemetry-instrumentation-fastapi,0,,0,0,
prefect,6,8.8,1,1,GHSA-4hh5-2678-83fx;GHSA-4v9f-r55g-g6hc;GHSA-6rcx-55r6-jx65;GHSA-6rr6-v7cj-mxpg;GHSA-hvph-5985-r63v;GHSA-p3pq-hxmr-vqqr
livekit,0,,0,0,
python-docx,2,8.8,1,1,GHSA-34wj-p5jm-2p96;PYSEC-2016-21
frozendict,0,,0,0,
pyelftools,0,,0,0,
publication,0,,0,0,
opentelemetry-instrumentation-asgi,0,,0,0,
livekit-protocol,0,,0,0,
mock,0,,0,0,
triton,0,,0,0,
service-identity,0,,0,0,
flask-login,0,,0,0,
inflect,0,,0,0,
scramp,0,,0,0,
strenum,0,,0,0,
pydantic-graph,0,,0,0,
ciso8601,0,,0,0,
pbs-installer,0,,0,0,
polars,0,,0,0,
poetry-core,0,,0,0,
bidict,0,,0,0,
apprise,2,7.5,1,1,GHSA-qhmp-h54x-38qr;PYSEC-2021-327
jsonpath-python,0,,0,0,
alibabacloud-tea-util,0,,0,0,
truststore,0,,0,0,
google-cloud-secret-manager,0,,0,0,
pymysql,1,9.8,1,1,GHSA-v9hf-5j83-6xpp
findpython,0,,0,0,
apsw,0,,0,0,
pre-commit,0,,0,0,
python-engineio,2,8.8,1,1,GHSA-j3jp-gvr5-7hwq;PYSEC-2019-170
jupyterlab,10,9.6,1,1,GHSA-37w4-hwhx-4rc4;GHSA-44cc-43rp-5947;GHSA-4952-p58q-6crx;GHSA-4m77-cmpx-vjc4;GHSA-9q39-rmj3-p4r2;GHSA-mqcg-5x36-vfcg;GHSA-rch3-82jr-f9w9;GHSA-vvfj-2jqx-52jm;PYSEC-2021-130;PYSEC-2026-164
asgi-lifespan,0,,0,0,
uritools,0,,0,0,
gql,0,,0,0,
pyspark,22,9.9,1,1,GHSA-329j-jfvr-rhr6;GHSA-43xg-8wmj-cw8h;GHSA-4x9r-j582-cgr8;GHSA-59hw-j9g6-mfg3;GHSA-6mqq-8r44-vmjc;GHSA-6p6v-m64v-jx8q;GHSA-8rhc-48pp-52gr;GHSA-9rr6-jpg7-9jg6;GHSA-fp5j-3fpf-mhj5;GHSA-fvxv-9xxr-h7wj;GHSA-wgx7-jwwm-cgjv;PYSEC-2017-147;PYSEC-2018-25;PYSEC-2019-114;PYSEC-2019-169;PYSEC-2020-95;PYSEC-2022-186;PYSEC-2022-236;PYSEC-2022-42976;PYSEC-2023-44;PYSEC-2023-72;PYSEC-2025-184
botocore-stubs,0,,0,0,
srsly,0,,0,0,
socksio,0,,0,0,
murmurhash,0,,0,0,
url-normalize,0,,0,0,
django-stubs-ext,0,,0,0,
tensorboard-data-server,0,,0,0,
cymem,0,,0,0,
gast,0,,0,0,
amplitude-analytics,0,,0,0,
cachelib,0,,0,0,
confection,0,,0,0,
pydot,0,,0,0,
makefun,0,,0,0,
diff-cover,0,,0,0,
alibabacloud-credentials,0,,0,0,
smdebug-rulesconfig,0,,0,0,
wasabi,0,,0,0,
gcloud-aio-auth,0,,0,0,
locket,0,,0,0,
jsii,0,,0,0,
rfc3986,0,,0,0,
opentelemetry-instrumentation-urllib3,0,,0,0,
dictdiffer,0,,0,0,
backports-asyncio-runner,0,,0,0,
cssselect2,0,,0,0,
fakeredis,0,,0,0,
incremental,0,,0,0,
apispec,0,,0,0,
etils,0,,0,0,
coolname,0,,0,0,
livekit-api,0,,0,0,
pyserial,0,,0,0,
dbus-fast,0,,0,0,
fasteners,0,,0,0,
vcs-versioning,0,,0,0,
apache-tvm-ffi,0,,0,0,
pycountry,0,,0,0,
atpublic,0,,0,0,
rdflib,0,,0,0,
livekit-blingfire,0,,0,0,
openai-agents,0,,0,0,
crc32c,0,,0,0,
google-cloud-monitoring,0,,0,0,
opentelemetry-instrumentation-logging,0,,0,0,
llama-cloud,0,,0,0,
typer-slim,0,,0,0,
automat,0,,0,0,
sqlalchemy-utils,0,,0,0,
jinja2-humanize-extension,0,,0,0,
constantly,0,,0,0,
xlsxwriter,0,,0,0,
openapi-schema-validator,0,,0,0,
